	seqid	source	exon_type	start	end	length	homology	strand	phase	attributes
18	HIE_SL+_TRINITY_DN44987_c1_g4_i1	TRINITY	intron	3343	5851.0	133	98.51	+	.	HIE_OG0030307
21	HIE_SL+_TRINITY_DN44987_c1_g4_i1	TRINITY	fine	5852	5994.0	143	98.61	+	.	HIE_OG0030307
172	HIE_SL+_TRINITY_DN47597_c0_g1_i1	TRINITY	fine	199	345.0	147	98.65	+	.	HIE_OG0030308
132	HIE_SL_TRINITY_DN48344_c2_g1_i8	TRINITY	fine	147	317.0	171	83.72		.	HIE_OG0030309
132	HIE_SL_TRINITY_DN48344_c2_g1_i8	TRINITY	intron	318	1820.0	171	83.72		.	HIE_OG0030309
136	HIE_SL_TRINITY_DN48344_c2_g1_i8	TRINITY	fine	1821	1998.0	178	98.88		.	HIE_OG0030309
136	HIE_SL_TRINITY_DN48344_c2_g1_i8	TRINITY	intron	1999	2341.0	178	98.88		.	HIE_OG0030309
137	HIE_SL_TRINITY_DN48344_c2_g1_i8	TRINITY	fine	2342	2495.0	154	98.71		.	HIE_OG0030309
137	HIE_SL_TRINITY_DN48344_c2_g1_i8	TRINITY	intron	2496	5802.0	154	98.71		.	HIE_OG0030309
140	HIE_SL_TRINITY_DN48344_c2_g1_i8	TRINITY	fine	5803	5942.0	140	98.58		.	HIE_OG0030309
140	HIE_SL_TRINITY_DN48344_c2_g1_i8	TRINITY	intron	5943	9681.0	140	98.58		.	HIE_OG0030309
145	HIE_SL_TRINITY_DN48344_c2_g1_i8	TRINITY	fine	9682	9891.0	210	98.1		.	HIE_OG0030309
39	LON_SL+_GGOE01000328.1		fine	1130	1265.0	136	98.54	+	.	LON_OG0030307
39	LON_SL+_GGOE01000328.1		intron	1266	4087.0	136	98.54	+	.	LON_OG0030307
41	LON_SL+_GGOE01000328.1		fine	4088	4341.0	254	99.22	+	.	LON_OG0030307
0	LON_SL+_GGOE01000359.1		fine	190	302.0	113	92.98	+	.	LON_OG0030309
0	LON_SL+_GGOE01000359.1		intron	303	883.0	113	92.98	+	.	LON_OG0030309
1	LON_SL+_GGOE01000359.1		fine	884	1110.0	227	99.12	+	.	LON_OG0030309
1	LON_SL+_GGOE01000359.1		intron	1111	1538.0	227	99.12	+	.	LON_OG0030309
2	LON_SL+_GGOE01000359.1		fine	1539	1776.0	238	99.16	+	.	LON_OG0030309
2	LON_SL+_GGOE01000359.1		intron	1777	2092.0	238	99.16	+	.	LON_OG0030309
3	LON_SL+_GGOE01000359.1		fine	2093	2246.0	154	98.71	+	.	LON_OG0030309
3	LON_SL+_GGOE01000359.1		intron	2247	3734.0	154	98.71	+	.	LON_OG0030309
6	LON_SL+_GGOE01000359.1		fine	3735	3874.0	140	98.58	+	.	LON_OG0030309
6	LON_SL+_GGOE01000359.1		intron	3875	5066.0	140	98.58	+	.	LON_OG0030309
8	LON_SL+_GGOE01000359.1		fine	5067	5286.0	220	99.1	+	.	LON_OG0030309
8	LON_SL+_GGOE01000359.1		intron	5287	6054.0	220	99.1	+	.	LON_OG0030309
9	LON_SL+_GGOE01000359.1		fine	6055	6234.0	180	98.9	+	.	LON_OG0030309
101	LON_SL_GGOE01000331.1		fine	200	349.0	150	98.68		.	LON_OG0030308
101	LON_SL_GGOE01000331.1		intron	350	7274.0	150	98.68		.	LON_OG0030308
114	LON_SL_GGOE01000331.1		fine	7275	7379.0	105	97.17		.	LON_OG0030308
114	LON_SL_GGOE01000331.1		intron	7380	8027.0	105	97.17		.	LON_OG0030308
115	LON_SL_GGOE01000331.1		fine	8028	8155.0	128	96.9		.	LON_OG0030308
115	LON_SL_GGOE01000331.1		intron	8156	9790.0	128	96.9		.	LON_OG0030308
117	LON_SL_GGOE01000331.1		fine	9791	9962.0	172	98.84		.	LON_OG0030308
117	LON_SL_GGOE01000331.1		intron	9963	11838.0	172	98.84		.	LON_OG0030308
120	LON_SL_GGOE01000331.1		fine	11839	11967.0	129	98.46		.	LON_OG0030308
120	LON_SL_GGOE01000331.1		intron	11968	13882.0	129	98.46		.	LON_OG0030308
122	LON_SL_GGOE01000331.1		fine	13883	13983.0	101	97.06		.	LON_OG0030308
122	LON_SL_GGOE01000331.1		intron	13984	18106.0	101	97.06		.	LON_OG0030308
129	LON_SL_GGOE01000331.1		fine	18107	18426.0	320	99.07		.	LON_OG0030308
