	seqid	source	exon_type	start	end	length	homology	strand	phase	attributes	substring
14	GRA_SL+_TRINITY_DN21248_c0_g1_i2	+	intron	1310	1469.0	160.0	0.0	+	.	GRA_OG0032244	substring_1
15	GRA_SL+_TRINITY_DN21248_c0_g1_i2	+	fine	1470	1538.0	68.0	98.55	+	.	GRA_OG0032244	substring_1
16	GRA_SL+_TRINITY_DN21248_c0_g1_i2	+	intron	1539	1550.0	12.0	0.0	+	.	GRA_OG0032244	substring_1
17	GRA_SL+_TRINITY_DN21248_c0_g1_i2	+	fine	1551	1737.0	186.0	100.0	+	.	GRA_OG0032244	substring_1
18	GRA_SL+_TRINITY_DN26150_c0_g1_i1	+	fine	200	290.0	90.0	100.0	+	.	GRA_OG0030915	substring_1
19	GRA_SL+_TRINITY_DN26150_c0_g1_i1	+	intron	291	841.0	551.0	0.0	+	.	GRA_OG0030915	substring_1
20	GRA_SL+_TRINITY_DN26150_c0_g1_i1	+	fine	842	949.0	107.0	100.0	+	.	GRA_OG0030915	substring_1
21	GRA_SL+_TRINITY_DN26150_c0_g1_i1	+	intron	950	1225.0	276.0	0.0	+	.	GRA_OG0030915	substring_1
22	GRA_SL+_TRINITY_DN26150_c0_g1_i1	+	fine	1226	1281.0	55.0	100.0	+	.	GRA_OG0030915	substring_1
23	GRA_SL+_TRINITY_DN26150_c0_g1_i1	+	intron	1282	1461.0	180.0	0.0	+	.	GRA_OG0030915	substring_1
24	GRA_SL+_TRINITY_DN26150_c0_g1_i1	+	fine	1462	1560.0	98.0	100.0	+	.	GRA_OG0030915	substring_1
25	GRA_SL+_TRINITY_DN26150_c0_g1_i1	+	intron	1561	2005.0	445.0	0.0	+	.	GRA_OG0030915	substring_1
26	GRA_SL+_TRINITY_DN26150_c0_g1_i1	+	fine	2006	2108.0	102.0	98.06	+	.	GRA_OG0030915	substring_1
27	GRA_SL+_TRINITY_DN26150_c0_g1_i1	+	intron	2109	3110.0	1002.0	0.0	+	.	GRA_OG0030915	substring_1
28	GRA_SL+_TRINITY_DN26150_c0_g1_i1	+	fine	3111	3414.0	303.0	99.67	+	.	GRA_OG0030915	substring_1
29	GRA_SL+_TRINITY_DN28825_c0_g1_i1	+	fine	5502	5723.0	221.0	99.1	+	.	GRA_OG0030540	substring_1
30	GRA_SL+_TRINITY_DN28825_c0_g1_i1	+	intron	5724	5963.0	240.0	0.0	+	.	GRA_OG0030540	substring_1
31	GRA_SL+_TRINITY_DN28825_c0_g1_i1	+	fine	5964	5997.0	33.0	100.0	+	.	GRA_OG0030540	substring_1
32	GRA_SL+_TRINITY_DN28825_c0_g1_i1	+	intron	5998	6049.0	52.0	0.0	+	.	GRA_OG0030540	substring_1
33	GRA_SL+_TRINITY_DN28825_c0_g1_i1	+	fine	6050	6112.0	62.0	100.0	+	.	GRA_OG0030540	substring_1
34	GRA_SL+_TRINITY_DN28825_c0_g1_i1	+	intron	6113	6295.0	183.0	0.0	+	.	GRA_OG0030540	substring_1
35	GRA_SL+_TRINITY_DN28825_c0_g1_i1	+	fine	6296	6363.0	67.0	100.0	+	.	GRA_OG0030540	substring_1
36	GRA_SL+_TRINITY_DN28825_c0_g1_i1	+	intron	6364	7063.0	700.0	0.0	+	.	GRA_OG0030540	substring_1
37	GRA_SL+_TRINITY_DN28825_c0_g1_i1	+	fine	7064	7419.0	355.0	100.0	+	.	GRA_OG0030540	substring_1
38	GRA_SL+_TRINITY_DN28958_c0_g1_i1	+	fine	6028	6199.0	171.0	98.26	+	.	GRA_OG0031134	substring_1
39	GRA_SL+_TRINITY_DN28958_c0_g1_i1	+	intron	6200	6947.0	748.0	0.0	+	.	GRA_OG0031134	substring_1
40	GRA_SL+_TRINITY_DN28958_c0_g1_i1	+	fine	6948	7052.0	104.0	100.0	+	.	GRA_OG0031134	substring_1
41	GRA_SL+_TRINITY_DN28958_c0_g1_i1	+	intron	7053	7271.0	219.0	0.0	+	.	GRA_OG0031134	substring_1
42	GRA_SL+_TRINITY_DN28958_c0_g1_i1	+	fine	7272	7337.0	65.0	100.0	+	.	GRA_OG0031134	substring_1
43	GRA_SL+_TRINITY_DN28958_c0_g1_i1	+	intron	7338	10029.0	2692.0	0.0	+	.	GRA_OG0031134	substring_1
44	GRA_SL+_TRINITY_DN28958_c0_g1_i1	+	fine	10030	10114.0	84.0	100.0	+	.	GRA_OG0031134	substring_1
45	GRA_SL+_TRINITY_DN28958_c0_g1_i1	+	intron	10115	13081.0	2967.0	0.0	+	.	GRA_OG0031134	substring_1
46	GRA_SL+_TRINITY_DN28958_c0_g1_i1	+	fine	13082	13130.0	48.0	100.0	+	.	GRA_OG0031134	substring_2
47	GRA_SL+_TRINITY_DN28958_c0_g1_i1	+	intron	13131	13218.0	88.0	0.0	+	.	GRA_OG0031134	substring_2
48	GRA_SL+_TRINITY_DN28958_c0_g1_i1	+	fine	13219	13320.0	101.0	100.0	+	.	GRA_OG0031134	substring_2
49	GRA_SL+_TRINITY_DN28958_c0_g1_i1	+	intron	13321	13782.0	462.0	0.0	+	.	GRA_OG0031134	substring_2
50	GRA_SL+_TRINITY_DN28958_c0_g1_i1	+	fine	13783	13847.0	64.0	98.46	+	.	GRA_OG0031134	substring_2
51	GRA_SL+_TRINITY_DN29569_c0_g1_i1	+	fine	195	304.0	109.0	98.18	+	.	GRA_OG0031824	substring_1
52	GRA_SL+_TRINITY_DN29569_c0_g1_i1	+	intron	305	766.0	462.0	0.0	+	.	GRA_OG0031824	substring_1
53	GRA_SL+_TRINITY_DN29569_c0_g1_i1	+	fine	767	914.0	147.0	100.0	+	.	GRA_OG0031824	substring_1
54	GRA_SL+_TRINITY_DN29569_c0_g1_i1	+	intron	915	1337.0	423.0	0.0	+	.	GRA_OG0031824	substring_1
55	GRA_SL+_TRINITY_DN29569_c0_g1_i1	+	fine	1338	1425.0	87.0	100.0	+	.	GRA_OG0031824	substring_1
56	GRA_SL+_TRINITY_DN29569_c0_g1_i1	+	intron	1426	1624.0	199.0	0.0	+	.	GRA_OG0031824	substring_1
57	GRA_SL+_TRINITY_DN29569_c0_g1_i1	+	fine	1625	1786.0	161.0	99.38	+	.	GRA_OG0031824	substring_1
58	GRA_SL+_TRINITY_DN29569_c0_g1_i1	+	intron	1787	2292.0	506.0	0.0	+	.	GRA_OG0031824	substring_1
59	GRA_SL+_TRINITY_DN29569_c0_g1_i1	+	fine	2293	2410.0	117.0	99.15	+	.	GRA_OG0031824	substring_1
60	GRA_SL+_TRINITY_DN29569_c0_g1_i1	+	intron	2411	2708.0	298.0	0.0	+	.	GRA_OG0031824	substring_1
61	GRA_SL+_TRINITY_DN29569_c0_g1_i1	+	fine	2709	2869.0	160.0	98.14	+	.	GRA_OG0031824	substring_1
62	GRA_SL+_TRINITY_DN29569_c0_g1_i1	+	intron	2870	4572.0	1703.0	0.0	+	.	GRA_OG0031824	substring_1
63	GRA_SL+_TRINITY_DN29569_c0_g1_i1	+	fine	4573	4727.0	154.0	99.35	+	.	GRA_OG0031824	substring_1
64	GRA_SL+_TRINITY_DN29569_c0_g1_i1	+	intron	4728	5030.0	303.0	0.0	+	.	GRA_OG0031824	substring_1
65	GRA_SL+_TRINITY_DN29569_c0_g1_i1	+	fine	5031	5145.0	114.0	99.13	+	.	GRA_OG0031824	substring_1
66	GRA_SL+_TRINITY_DN31743_c0_g1_i3	+	fine	14504	14547.0	43.0	97.73	+	.	GRA_OG0030609	substring_1
67	GRA_SL+_TRINITY_DN31743_c0_g1_i3	+	intron	14548	15891.0	1344.0	0.0	+	.	GRA_OG0030609	substring_1
68	GRA_SL+_TRINITY_DN31743_c0_g1_i3	+	fine	15892	16016.0	124.0	97.6	+	.	GRA_OG0030609	substring_1
69	GRA_SL+_TRINITY_DN31743_c0_g1_i3	+	intron	16017	16767.0	751.0	0.0	+	.	GRA_OG0030609	substring_1
70	GRA_SL+_TRINITY_DN31743_c0_g1_i3	+	fine	16768	16915.0	147.0	96.62	+	.	GRA_OG0030609	substring_1
71	GRA_SL+_TRINITY_DN31743_c0_g1_i3	+	intron	16916	18844.0	1929.0	0.0	+	.	GRA_OG0030609	substring_1
72	GRA_SL+_TRINITY_DN31743_c0_g1_i3	+	fine	18845	19029.0	184.0	100.0	+	.	GRA_OG0030609	substring_1
73	GRA_SL+_TRINITY_DN31743_c0_g1_i3	+	intron	19030	19432.0	403.0	0.0	+	.	GRA_OG0030609	substring_1
74	GRA_SL+_TRINITY_DN31743_c0_g1_i3	+	fine	19433	19762.0	329.0	100.0	+	.	GRA_OG0030609	substring_1
75	GRA_SL+_TRINITY_DN32207_c0_g1_i1	+	fine	197	274.0	77.0	96.15	+	.	GRA_OG0032024	substring_1
76	GRA_SL+_TRINITY_DN32207_c0_g1_i1	+	intron	275	567.0	293.0	0.0	+	.	GRA_OG0032024	substring_1
77	GRA_SL+_TRINITY_DN32207_c0_g1_i1	+	fine	568	673.0	105.0	100.0	+	.	GRA_OG0032024	substring_1
78	GRA_SL+_TRINITY_DN32207_c0_g1_i1	+	intron	674	2958.0	2285.0	0.0	+	.	GRA_OG0032024	substring_1
79	GRA_SL+_TRINITY_DN32207_c0_g1_i1	+	fine	2959	3035.0	76.0	100.0	+	.	GRA_OG0032024	substring_1
80	GRA_SL+_TRINITY_DN32207_c0_g1_i1	+	intron	3036	3088.0	53.0	0.0	+	.	GRA_OG0032024	substring_1
81	GRA_SL+_TRINITY_DN32207_c0_g1_i1	+	fine	3089	3206.0	117.0	100.0	+	.	GRA_OG0032024	substring_1
82	GRA_SL+_TRINITY_DN32207_c0_g1_i1	+	intron	3207	7745.0	4539.0	0.0	+	.	GRA_OG0032024	substring_1
83	GRA_SL+_TRINITY_DN32207_c0_g1_i1	+	fine	7746	7872.0	126.0	98.43	+	.	GRA_OG0032024	substring_1
84	GRA_SL+_TRINITY_DN32207_c0_g1_i1	+	intron	7873	7915.0	43.0	0.0	+	.	GRA_OG0032024	substring_1
85	GRA_SL+_TRINITY_DN32207_c0_g1_i1	+	fine	7916	8034.0	118.0	100.0	+	.	GRA_OG0032024	substring_1
86	GRA_SL+_TRINITY_DN32207_c0_g1_i1	+	intron	8035	10802.0	2768.0	0.0	+	.	GRA_OG0032024	substring_1
87	GRA_SL+_TRINITY_DN32207_c0_g1_i1	+	fine	10803	10890.0	87.0	100.0	+	.	GRA_OG0032024	substring_1
88	GRA_SL+_TRINITY_DN32207_c0_g1_i1	+	intron	10891	11370.0	480.0	0.0	+	.	GRA_OG0032024	substring_1
89	GRA_SL+_TRINITY_DN32207_c0_g1_i1	+	fine	11371	11460.0	89.0	100.0	+	.	GRA_OG0032024	substring_1
90	GRA_SL+_TRINITY_DN32207_c0_g1_i1	+	intron	11461	11961.0	501.0	0.0	+	.	GRA_OG0032024	substring_1
91	GRA_SL+_TRINITY_DN32207_c0_g1_i1	+	fine	11962	12137.0	175.0	100.0	+	.	GRA_OG0032024	substring_1
92	GRA_SL+_TRINITY_DN32827_c0_g1_i1	+	fine	199	344.0	145.0	99.32	+	.	GRA_OG0032708	substring_1
93	GRA_SL+_TRINITY_DN32827_c0_g1_i1	+	intron	345	962.0	618.0	0.0	+	.	GRA_OG0032708	substring_1
94	GRA_SL+_TRINITY_DN32827_c0_g1_i1	+	fine	963	1085.0	122.0	100.0	+	.	GRA_OG0032708	substring_1
95	GRA_SL+_TRINITY_DN32827_c0_g1_i1	+	intron	1086	2364.0	1279.0	0.0	+	.	GRA_OG0032708	substring_1
96	GRA_SL+_TRINITY_DN32827_c0_g1_i1	+	fine	2365	2429.0	64.0	100.0	+	.	GRA_OG0032708	substring_1
97	GRA_SL+_TRINITY_DN32827_c0_g1_i1	+	intron	2430	3077.0	648.0	0.0	+	.	GRA_OG0032708	substring_1
98	GRA_SL+_TRINITY_DN32827_c0_g1_i1	+	fine	3078	3223.0	145.0	100.0	+	.	GRA_OG0032708	substring_2
99	GRA_SL+_TRINITY_DN32827_c0_g1_i1	+	intron	3224	3922.0	699.0	0.0	+	.	GRA_OG0032708	substring_2
100	GRA_SL+_TRINITY_DN32827_c0_g1_i1	+	fine	3923	4046.0	123.0	100.0	+	.	GRA_OG0032708	substring_2
101	GRA_SL+_TRINITY_DN32827_c0_g1_i1	+	intron	4047	4555.0	509.0	0.0	+	.	GRA_OG0032708	substring_2
102	GRA_SL+_TRINITY_DN32827_c0_g1_i1	+	fine	4556	4633.0	77.0	98.72	+	.	GRA_OG0032708	substring_2
103	GRA_SL+_TRINITY_DN32827_c0_g1_i1	+	intron	4634	5249.0	616.0	0.0	+	.	GRA_OG0032708	substring_2
104	GRA_SL+_TRINITY_DN32827_c0_g1_i1	+	fine	5250	5457.0	207.0	100.0	+	.	GRA_OG0032708	substring_2
105	GRA_SL+_TRINITY_DN33523_c0_g1_i1	+	fine	200	328.0	128.0	99.22	+	.	GRA_OG0032668	substring_1
106	GRA_SL+_TRINITY_DN33523_c0_g1_i1	+	intron	329	794.0	466.0	0.0	+	.	GRA_OG0032668	substring_1
107	GRA_SL+_TRINITY_DN33523_c0_g1_i1	+	fine	795	899.0	104.0	99.05	+	.	GRA_OG0032668	substring_1
108	GRA_SL+_TRINITY_DN33523_c0_g1_i1	+	intron	900	4937.0	4038.0	0.0	+	.	GRA_OG0032668	substring_1
109	GRA_SL+_TRINITY_DN33523_c0_g1_i1	+	fine	4938	5075.0	137.0	100.0	+	.	GRA_OG0032668	substring_1
110	GRA_SL+_TRINITY_DN33523_c0_g1_i1	+	intron	5076	5855.0	780.0	0.0	+	.	GRA_OG0032668	substring_1
111	GRA_SL+_TRINITY_DN33523_c0_g1_i1	+	fine	5856	5928.0	72.0	100.0	+	.	GRA_OG0032668	substring_1
112	GRA_SL+_TRINITY_DN33523_c0_g1_i1	+	intron	5929	11252.0	5324.0	0.0	+	.	GRA_OG0032668	substring_1
113	GRA_SL+_TRINITY_DN33523_c0_g1_i1	+	fine	11253	11346.0	93.0	100.0	+	.	GRA_OG0032668	substring_1
114	GRA_SL+_TRINITY_DN33523_c0_g1_i1	+	intron	11347	12653.0	1307.0	0.0	+	.	GRA_OG0032668	substring_1
115	GRA_SL+_TRINITY_DN33523_c0_g1_i1	+	fine	12654	12816.0	162.0	99.39	+	.	GRA_OG0032668	substring_1
116	GRA_SL+_TRINITY_DN33602_c0_g1_i1	+	fine	1230	1328.0	98.0	98.99	+	.	GRA_OG0031640	substring_1
117	GRA_SL+_TRINITY_DN33602_c0_g1_i1	+	intron	1329	1725.0	397.0	0.0	+	.	GRA_OG0031640	substring_1
118	GRA_SL+_TRINITY_DN33602_c0_g1_i1	+	fine	1726	1874.0	148.0	100.0	+	.	GRA_OG0031640	substring_1
119	GRA_SL+_TRINITY_DN33602_c0_g1_i1	+	intron	1875	2968.0	1094.0	0.0	+	.	GRA_OG0031640	substring_1
120	GRA_SL+_TRINITY_DN33602_c0_g1_i1	+	fine	2969	3072.0	103.0	99.04	+	.	GRA_OG0031640	substring_1
121	GRA_SL+_TRINITY_DN33602_c0_g1_i1	+	intron	3073	3190.0	118.0	0.0	+	.	GRA_OG0031640	substring_1
122	GRA_SL+_TRINITY_DN33602_c0_g1_i1	+	fine	3191	3245.0	54.0	100.0	+	.	GRA_OG0031640	substring_1
123	GRA_SL+_TRINITY_DN33602_c0_g1_i1	+	intron	3246	3720.0	475.0	0.0	+	.	GRA_OG0031640	substring_1
124	GRA_SL+_TRINITY_DN33602_c0_g1_i1	+	fine	3721	3830.0	109.0	99.09	+	.	GRA_OG0031640	substring_1
125	GRA_SL+_TRINITY_DN33602_c0_g1_i1	+	intron	3831	4073.0	243.0	0.0	+	.	GRA_OG0031640	substring_1
126	GRA_SL+_TRINITY_DN33602_c0_g1_i1	+	fine	4074	4297.0	223.0	100.0	+	.	GRA_OG0031640	substring_1
127	GRA_SL+_TRINITY_DN33775_c0_g1_i1	+	fine	199	299.0	100.0	98.02	+	.	GRA_OG0031559	substring_1
128	GRA_SL+_TRINITY_DN33775_c0_g1_i1	+	intron	300	996.0	697.0	0.0	+	.	GRA_OG0031559	substring_1
129	GRA_SL+_TRINITY_DN33775_c0_g1_i1	+	fine	997	1082.0	85.0	100.0	+	.	GRA_OG0031559	substring_1
130	GRA_SL+_TRINITY_DN33775_c0_g1_i1	+	intron	1083	1334.0	252.0	0.0	+	.	GRA_OG0031559	substring_1
131	GRA_SL+_TRINITY_DN33775_c0_g1_i1	+	fine	1335	1413.0	78.0	100.0	+	.	GRA_OG0031559	substring_1
132	GRA_SL+_TRINITY_DN33775_c0_g1_i1	+	intron	1414	2634.0	1221.0	0.0	+	.	GRA_OG0031559	substring_1
133	GRA_SL+_TRINITY_DN33775_c0_g1_i1	+	fine	2635	2807.0	172.0	100.0	+	.	GRA_OG0031559	substring_1
134	GRA_SL+_TRINITY_DN33775_c0_g1_i1	+	intron	2808	3503.0	696.0	0.0	+	.	GRA_OG0031559	substring_1
135	GRA_SL+_TRINITY_DN33775_c0_g1_i1	+	fine	3504	3788.0	284.0	99.3	+	.	GRA_OG0031559	substring_1
136	GRA_SL+_TRINITY_DN33835_c0_g1_i1	+	fine	198	333.0	135.0	97.79	+	.	GRA_OG0032547	substring_1
137	GRA_SL+_TRINITY_DN33835_c0_g1_i1	+	intron	334	1048.0	715.0	0.0	+	.	GRA_OG0032547	substring_1
138	GRA_SL+_TRINITY_DN33835_c0_g1_i1	+	fine	1049	1121.0	72.0	100.0	+	.	GRA_OG0032547	substring_1
139	GRA_SL+_TRINITY_DN33835_c0_g1_i1	+	intron	1122	2154.0	1033.0	0.0	+	.	GRA_OG0032547	substring_1
140	GRA_SL+_TRINITY_DN33835_c0_g1_i1	+	fine	2155	2286.0	131.0	98.48	+	.	GRA_OG0032547	substring_1
141	GRA_SL+_TRINITY_DN33835_c0_g1_i1	+	intron	2287	3939.0	1653.0	0.0	+	.	GRA_OG0032547	substring_1
142	GRA_SL+_TRINITY_DN33835_c0_g1_i1	+	fine	3940	4261.0	321.0	100.0	+	.	GRA_OG0032547	substring_1
143	GRA_SL+_TRINITY_DN33881_c0_g1_i2	+	fine	189	293.0	104.0	95.24	+	.	GRA_OG0030870	substring_1
144	GRA_SL+_TRINITY_DN33881_c0_g1_i2	+	intron	294	1546.0	1253.0	0.0	+	.	GRA_OG0030870	substring_1
145	GRA_SL+_TRINITY_DN33881_c0_g1_i2	+	fine	1547	1725.0	178.0	100.0	+	.	GRA_OG0030870	substring_1
146	GRA_SL+_TRINITY_DN33881_c0_g1_i2	+	intron	1726	2322.0	597.0	0.0	+	.	GRA_OG0030870	substring_1
147	GRA_SL+_TRINITY_DN33881_c0_g1_i2	+	fine	2323	2387.0	64.0	100.0	+	.	GRA_OG0030870	substring_1
148	GRA_SL+_TRINITY_DN33881_c0_g1_i2	+	intron	2388	6080.0	3693.0	0.0	+	.	GRA_OG0030870	substring_1
149	GRA_SL+_TRINITY_DN33881_c0_g1_i2	+	fine	6081	6179.0	98.0	98.99	+	.	GRA_OG0030870	substring_1
150	GRA_SL+_TRINITY_DN33881_c0_g1_i2	+	intron	6180	7220.0	1041.0	0.0	+	.	GRA_OG0030870	substring_1
151	GRA_SL+_TRINITY_DN33881_c0_g1_i2	+	fine	7221	7368.0	147.0	97.97	+	.	GRA_OG0030870	substring_1
152	GRA_SL+_TRINITY_DN33881_c0_g1_i2	+	intron	7369	8515.0	1147.0	0.0	+	.	GRA_OG0030870	substring_1
153	GRA_SL+_TRINITY_DN33881_c0_g1_i2	+	fine	8516	8635.0	119.0	100.0	+	.	GRA_OG0030870	substring_1
154	GRA_SL+_TRINITY_DN33881_c0_g1_i2	+	intron	8636	9417.0	782.0	0.0	+	.	GRA_OG0030870	substring_1
155	GRA_SL+_TRINITY_DN33881_c0_g1_i2	+	fine	9418	9632.0	214.0	97.67	+	.	GRA_OG0030870	substring_1
156	GRA_SL+_TRINITY_DN34008_c0_g1_i1	+	fine	3975	4046.0	71.0	100.0	+	.	GRA_OG0031059	substring_1
157	GRA_SL+_TRINITY_DN34008_c0_g1_i1	+	intron	4047	4928.0	882.0	0.0	+	.	GRA_OG0031059	substring_1
158	GRA_SL+_TRINITY_DN34008_c0_g1_i1	+	fine	4929	4981.0	52.0	100.0	+	.	GRA_OG0031059	substring_1
159	GRA_SL+_TRINITY_DN34008_c0_g1_i1	+	intron	4982	6124.0	1143.0	0.0	+	.	GRA_OG0031059	substring_1
160	GRA_SL+_TRINITY_DN34008_c0_g1_i1	+	fine	6125	6380.0	255.0	99.22	+	.	GRA_OG0031059	substring_1
161	GRA_SL+_TRINITY_DN34094_c0_g1_i2	+	fine	200	295.0	95.0	100.0	+	.	GRA_OG0030844	substring_1
162	GRA_SL+_TRINITY_DN34094_c0_g1_i2	+	intron	296	529.0	234.0	0.0	+	.	GRA_OG0030844	substring_1
163	GRA_SL+_TRINITY_DN34094_c0_g1_i2	+	fine	530	628.0	98.0	100.0	+	.	GRA_OG0030844	substring_1
164	GRA_SL+_TRINITY_DN34094_c0_g1_i2	+	intron	629	3572.0	2944.0	0.0	+	.	GRA_OG0030844	substring_1
165	GRA_SL+_TRINITY_DN34094_c0_g1_i2	+	fine	3573	3715.0	142.0	97.2	+	.	GRA_OG0030844	substring_1
166	GRA_SL+_TRINITY_DN34094_c0_g1_i2	+	intron	3716	4180.0	465.0	0.0	+	.	GRA_OG0030844	substring_1
167	GRA_SL+_TRINITY_DN34094_c0_g1_i2	+	fine	4181	4295.0	114.0	95.65	+	.	GRA_OG0030844	substring_1
168	GRA_SL+_TRINITY_DN34094_c0_g1_i2	+	intron	4296	4298.0	3.0	0.0	+	.	GRA_OG0030844	substring_1
169	GRA_SL+_TRINITY_DN34094_c0_g1_i2	+	fine	4299	4344.0	45.0	100.0	+	.	GRA_OG0030844	substring_1
170	GRA_SL+_TRINITY_DN34326_c0_g1_i1	+	fine	202	297.0	95.0	95.83	+	.	GRA_OG0032278	substring_1
171	GRA_SL+_TRINITY_DN34326_c0_g1_i1	+	intron	298	1347.0	1050.0	0.0	+	.	GRA_OG0032278	substring_1
172	GRA_SL+_TRINITY_DN34326_c0_g1_i1	+	fine	1348	1410.0	62.0	100.0	+	.	GRA_OG0032278	substring_1
173	GRA_SL+_TRINITY_DN34326_c0_g1_i1	+	intron	1411	3569.0	2159.0	0.0	+	.	GRA_OG0032278	substring_1
174	GRA_SL+_TRINITY_DN34326_c0_g1_i1	+	fine	3570	3670.0	100.0	99.01	+	.	GRA_OG0032278	substring_1
175	GRA_SL+_TRINITY_DN34326_c0_g1_i1	+	intron	3671	4044.0	374.0	0.0	+	.	GRA_OG0032278	substring_1
176	GRA_SL+_TRINITY_DN34326_c0_g1_i1	+	fine	4045	4343.0	298.0	99.33	+	.	GRA_OG0032278	substring_1
177	GRA_SL+_TRINITY_DN34344_c0_g1_i1	+	fine	995	1073.0	78.0	100.0	+	.	GRA_OG0032151	substring_1
178	GRA_SL+_TRINITY_DN34344_c0_g1_i1	+	intron	1074	1810.0	737.0	0.0	+	.	GRA_OG0032151	substring_1
179	GRA_SL+_TRINITY_DN34344_c0_g1_i1	+	fine	1811	1933.0	122.0	97.56	+	.	GRA_OG0032151	substring_1
180	GRA_SL+_TRINITY_DN34344_c0_g1_i1	+	intron	1934	4350.0	2417.0	0.0	+	.	GRA_OG0032151	substring_1
181	GRA_SL+_TRINITY_DN34344_c0_g1_i1	+	fine	4351	4505.0	154.0	98.71	+	.	GRA_OG0032151	substring_1
182	GRA_SL+_TRINITY_DN34344_c0_g1_i1	+	intron	4506	5315.0	810.0	0.0	+	.	GRA_OG0032151	substring_1
183	GRA_SL+_TRINITY_DN34344_c0_g1_i1	+	fine	5316	5385.0	69.0	98.57	+	.	GRA_OG0032151	substring_1
184	GRA_SL+_TRINITY_DN34344_c0_g1_i1	+	intron	5386	5955.0	570.0	0.0	+	.	GRA_OG0032151	substring_1
185	GRA_SL+_TRINITY_DN34344_c0_g1_i1	+	fine	5956	6040.0	84.0	100.0	+	.	GRA_OG0032151	substring_1
186	GRA_SL+_TRINITY_DN34344_c0_g1_i1	+	intron	6041	6346.0	306.0	0.0	+	.	GRA_OG0032151	substring_1
187	GRA_SL+_TRINITY_DN34344_c0_g1_i1	+	fine	6347	6398.0	51.0	100.0	+	.	GRA_OG0032151	substring_1
188	GRA_SL+_TRINITY_DN34344_c0_g1_i1	+	intron	6399	7105.0	707.0	0.0	+	.	GRA_OG0032151	substring_1
189	GRA_SL+_TRINITY_DN34344_c0_g1_i1	+	fine	7106	7193.0	87.0	97.73	+	.	GRA_OG0032151	substring_1
190	GRA_SL+_TRINITY_DN34422_c0_g1_i1	+	fine	200	321.0	121.0	100.0	+	.	GRA_OG0032642	substring_1
191	GRA_SL+_TRINITY_DN34422_c0_g1_i1	+	intron	322	688.0	367.0	0.0	+	.	GRA_OG0032642	substring_1
192	GRA_SL+_TRINITY_DN34422_c0_g1_i1	+	fine	689	796.0	107.0	98.15	+	.	GRA_OG0032642	substring_1
193	GRA_SL+_TRINITY_DN34422_c0_g1_i1	+	intron	797	1645.0	849.0	0.0	+	.	GRA_OG0032642	substring_1
194	GRA_SL+_TRINITY_DN34422_c0_g1_i1	+	fine	1646	1802.0	156.0	99.36	+	.	GRA_OG0032642	substring_1
195	GRA_SL+_TRINITY_DN34422_c0_g1_i1	+	intron	1803	1920.0	118.0	0.0	+	.	GRA_OG0032642	substring_1
196	GRA_SL+_TRINITY_DN34422_c0_g1_i1	+	fine	1921	2122.0	201.0	98.02	+	.	GRA_OG0032642	substring_1
197	GRA_SL+_TRINITY_DN34469_c0_g1_i2	+	fine	1633	1682.0	49.0	98.0	+	.	GRA_OG0031675	substring_1
198	GRA_SL+_TRINITY_DN34469_c0_g1_i2	+	intron	1683	1765.0	83.0	0.0	+	.	GRA_OG0031675	substring_1
