seqid	source	exon_type	start	end	length	homology	GC	strand	phase	attributes	substring
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	2487	4077	1591	0.0	48.02	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	4078	4117	40	100.0	65.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	4118	4489	372	0.0	44.35	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	4490	4558	69	98.55	42.03	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	4559	5833	1275	0.0	47.06	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	5834	5908	75	100.0	65.33	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	5909	6105	197	0.0	60.91	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	6106	6169	64	100.0	57.81	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	6170	6719	550	0.0	50.18	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	6720	6761	42	100.0	64.29	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	6762	6901	140	0.0	72.14	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	6902	6964	63	100.0	68.25	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	6965	7274	310	0.0	57.1	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	7275	7379	105	99.05	52.38	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	7380	8027	648	0.0	51.23	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	8028	8155	128	98.44	66.41	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	8156	8840	685	0.0	56.2	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	8841	8901	61	100.0	49.18	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	8902	9790	889	0.0	49.61	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	9791	9962	172	100.0	69.19	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	9963	10341	379	0.0	51.72	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	10342	10408	67	100.0	53.73	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	10409	10506	98	0.0	63.27	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	10507	10563	57	100.0	63.16	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	10564	11838	1275	0.0	49.41	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	11839	11967	129	100.0	56.59	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	11968	13171	1204	0.0	49.17	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	13172	13222	51	100.0	62.75	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	13223	13882	660	0.0	52.42	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	13883	13983	101	99.01	58.42	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	13984	14546	563	0.0	44.05	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	14547	14643	97	97.94	69.07	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	14644	15297	654	0.0	54.74	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	15298	15377	80	100.0	70.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	15378	16481	1104	0.0	50.18	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	16482	16529	48	100.0	62.5	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	16530	16809	280	0.0	58.93	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	16810	16879	70	100.0	65.71	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	16880	17345	466	0.0	65.45	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	17346	17427	82	98.78	64.63	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	17428	17622	195	0.0	68.21	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	17623	17718	96	100.0	68.75	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	17719	18106	388	0.0	44.33	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	18107	18426	320	99.38	65.62	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	fine	206	293	88	98.86	63.64	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	intron	294	425	132	0.0	62.12	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	fine	426	482	57	100.0	70.18	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	intron	483	1781	1299	0.0	48.73	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	fine	1782	1833	52	100.0	71.15	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	intron	1834	4273	2440	0.0	49.39	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	fine	4274	4325	52	98.08	78.85	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	intron	4326	4960	635	0.0	50.71	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	fine	4961	5092	132	98.48	67.42	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	intron	5093	5439	347	0.0	49.57	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	fine	5440	5593	154	99.35	67.53	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	intron	5594	5949	356	0.0	52.53	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	fine	5950	6033	84	100.0	63.1	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	intron	6034	7702	1669	0.0	41.58	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN42647_c0_g1_i3	+	fine	7703	7769	67	100.0	56.72	+	.	GRA_OG0030309	substring_1
GRA_SL+_TRINITY_DN44852_c1_g1_i5	+	fine	3479	3556	78	100.0	51.28	+	.	GRA_OG0030313	substring_1
GRA_SL+_TRINITY_DN44852_c1_g1_i5	+	intron	3557	3672	116	0.0	45.69	+	.	GRA_OG0030313	substring_1
GRA_SL+_TRINITY_DN44852_c1_g1_i5	+	fine	3673	3817	145	98.62	46.9	+	.	GRA_OG0030313	substring_1
GRA_SL+_TRINITY_DN44852_c1_g1_i5	+	intron	3818	4863	1046	0.0	45.79	+	.	GRA_OG0030313	substring_1
GRA_SL+_TRINITY_DN44852_c1_g1_i5	+	fine	4864	5134	271	98.52	40.96	+	.	GRA_OG0030313	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	4398	4641	244	100.0	77.05	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	4642	4949	308	0.0	50.0	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	4950	5115	166	100.0	74.1	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	5116	5747	632	0.0	43.04	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	5748	5833	86	100.0	69.77	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	5834	5962	129	0.0	64.34	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	5963	6042	80	100.0	65.0	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	6043	6753	711	0.0	55.7	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	6754	6874	121	100.0	74.38	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	6875	7249	375	0.0	51.73	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	7250	7327	78	98.72	57.69	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	7328	8152	825	0.0	51.15	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	8153	8319	167	99.4	73.05	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	8320	9052	733	0.0	48.7	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	9053	9184	132	96.97	69.7	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	9185	9949	765	0.0	43.4	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	9950	10077	128	100.0	68.75	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	10078	10343	266	0.0	59.77	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	10344	10755	412	99.27	71.84	+	.	GRA_OG0030317	substring_1
GRA_SL+_TRINITY_DN50350_c0_g3_i1	+	fine	2167	2297	131	96.18	68.7	+	.	GRA_OG0030319	substring_1
GRA_SL+_TRINITY_DN50350_c0_g3_i1	+	intron	2298	2968	671	0.0	52.61	+	.	GRA_OG0030319	substring_1
GRA_SL+_TRINITY_DN50350_c0_g3_i1	+	fine	2969	3312	344	99.71	60.17	+	.	GRA_OG0030319	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	195	328	134	96.27	56.72	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	329	1151	823	0.0	37.18	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	1152	1281	130	100.0	59.23	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	1282	2030	749	0.0	45.66	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	2031	2102	72	98.61	58.33	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	2103	2355	253	0.0	56.52	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	2356	2503	148	99.32	51.35	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	2504	2988	485	0.0	34.02	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	2989	3042	54	98.15	61.11	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	3043	3155	113	0.0	66.37	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	3156	3263	108	100.0	55.56	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	3264	4446	1183	0.0	51.99	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	4447	4588	142	97.18	45.77	+	.	GRA_OG0030320	substring_1
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	4904	4967	64	95.31	56.25	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	4968	5218	251	0.0	47.01	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	5219	5285	67	100.0	65.67	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	5286	5636	351	0.0	44.16	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	5637	5741	105	100.0	69.52	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	5742	6117	376	0.0	36.7	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	6118	6233	116	100.0	72.41	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	intron	6234	6523	290	0.0	40.34	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN42409_c0_g2_i13	+	fine	6524	6649	126	97.62	60.32	+	.	GRA_OG0030320	substring_2
GRA_SL+_TRINITY_DN45988_c2_g2_i2	+	fine	2314	2432	119	98.32	62.18	+	.	GRA_OG0030321	substring_1
GRA_SL+_TRINITY_DN45988_c2_g2_i2	+	intron	2433	2972	540	0.0	49.44	+	.	GRA_OG0030321	substring_1
GRA_SL+_TRINITY_DN45988_c2_g2_i2	+	fine	2973	3109	137	100.0	56.93	+	.	GRA_OG0030321	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	2423	2493	71	95.77	59.15	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	2494	3751	1258	0.0	47.62	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	3752	3860	109	100.0	72.48	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	3861	4187	327	0.0	63.61	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	4188	4248	61	96.72	62.3	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	4249	4682	434	0.0	57.6	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	4683	4788	106	100.0	66.04	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	4789	5319	531	0.0	58.0	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	5320	5383	64	98.44	51.56	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	5384	5560	177	0.0	63.84	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	5561	5631	71	95.77	71.83	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	5632	6255	624	0.0	44.71	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	6256	6297	42	100.0	69.05	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	6298	6556	259	0.0	51.35	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	6557	6646	90	100.0	77.78	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	6647	7034	388	0.0	37.89	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	7035	7079	45	100.0	51.11	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	7080	8486	1407	0.0	54.66	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	8487	8637	151	95.36	72.19	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	intron	8638	9300	663	0.0	57.62	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN47430_c1_g1_i3	+	fine	9301	9463	163	98.16	55.83	+	.	GRA_OG0030324	substring_1
GRA_SL+_TRINITY_DN39522_c1_g4_i2	+	fine	3104	3277	174	99.43	55.75	+	.	GRA_OG0030327	substring_1
GRA_SL+_TRINITY_DN39522_c1_g4_i2	+	fine	3282	3427	146	100.0	61.64	+	.	GRA_OG0030327	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	194	469	276	96.01	51.81	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	470	741	272	0.0	34.93	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	742	774	33	100.0	48.48	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	775	1969	1195	0.0	53.47	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	1970	2150	181	99.45	54.14	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	2151	2211	61	0.0	52.46	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	2212	2294	83	98.8	49.4	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	2295	6302	4008	0.0	49.9	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	6303	6470	168	98.21	48.81	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	6471	6601	131	0.0	42.75	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	6602	6723	122	98.36	47.54	+	.	GRA_OG0030329	substring_1
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	12864	12925	62	100.0	48.39	+	.	GRA_OG0030329	substring_2
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	12926	13032	107	0.0	51.4	+	.	GRA_OG0030329	substring_2
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	13033	13090	58	100.0	51.72	+	.	GRA_OG0030329	substring_2
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	13091	15004	1914	0.0	48.64	+	.	GRA_OG0030329	substring_2
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	15005	15102	98	93.88	42.86	+	.	GRA_OG0030329	substring_2
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	18479	18575	97	96.91	54.64	+	.	GRA_OG0030329	substring_3
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	18576	19934	1359	0.0	49.82	+	.	GRA_OG0030329	substring_3
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	19935	19971	37	100.0	51.35	+	.	GRA_OG0030329	substring_3
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	intron	19972	20229	258	0.0	43.41	+	.	GRA_OG0030329	substring_3
GRA_SL+_TRINITY_DN45496_c1_g2_i1	+	fine	20230	20360	131	100.0	50.38	+	.	GRA_OG0030329	substring_3
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	3856	3916	61	96.72	63.93	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	3917	4379	463	0.0	61.77	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	4380	4421	42	100.0	57.14	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	4422	5342	921	0.0	55.59	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	5343	5431	89	97.75	71.91	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	5432	9203	3772	0.0	49.58	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	9204	9278	75	100.0	62.67	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	9279	11552	2274	0.0	44.33	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	11553	11660	108	99.07	70.37	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	11661	13000	1340	0.0	49.93	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	13001	13042	42	100.0	59.52	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	13043	13636	594	0.0	48.15	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	13637	13779	143	100.0	68.53	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	13780	14556	777	0.0	47.49	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	14557	14631	75	100.0	64.0	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	14632	15165	534	0.0	57.87	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	15166	15252	87	100.0	54.02	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	15253	16250	998	0.0	44.39	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	16251	16344	94	98.94	69.15	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	16345	17891	1547	0.0	48.42	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	17892	17983	92	98.91	67.39	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	17984	19016	1033	0.0	53.92	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	19017	19127	111	99.1	81.98	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	19128	19754	627	0.0	59.01	+	.	GRA_OG0030333	substring_1
GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	19755	19782	28	100.0	71.43	+	.	GRA_OG0030333	substring_1
GRA_SL-_TRINITY_DN37260_c0_g2_i1	-	fine	604	914	311	99.68	52.73	-	.	GRA_OG0030334	substring_1
GRA_SL-_TRINITY_DN37260_c0_g2_i1	-	intron	915	958	44	0.0	43.18	-	.	GRA_OG0030334	substring_1
GRA_SL-_TRINITY_DN37260_c0_g2_i1	-	fine	959	1152	194	99.48	61.86	-	.	GRA_OG0030334	substring_1
GRA_SL+_TRINITY_DN44348_c0_g4_i3	+	fine	200	481	282	99.65	72.34	+	.	GRA_OG0030336	substring_1
GRA_SL+_TRINITY_DN44348_c0_g4_i3	+	intron	482	754	273	0.0	35.16	+	.	GRA_OG0030336	substring_1
